server_name,1967,1969,1971,1973,1976,1979,1981,1984,1985,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Gates Open Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34,68,43,33,26,30,23,1
HAL,0,0,0,0,0,0,0,0,0,0,0,0,173,148,160,140,176,167,183,177,201,177,248,261,344,502,551,863,925,966,946,1016,1100,1096,1184,1278,1338,1483,1584,1608,1675,1606,1367,1718,986,383,241,528
HRB Open Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,56,67,41,41,35,24
Humanities Commons CORE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,163,1099,863,1071,1118,1201,918,1940,1288,1728
IACR Cryptology ePrint Archive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,7,14,13,14,8,16,18,15,23,23,18,25,29,20,21,18,37,47,35,0,0,0,0
INA-Rxiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338,1698,991,72,0,0,0,0,0
IndiaRxiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0
JMIR Preprints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,147,104,90,270,226,162,169,120,94
Keldysh Institute Preprints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,15,10,5,3,1,4,4,0
LIS Scholarship Archive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,53,11,6,0,0,0,2,5
LSE Research Online Documents on Economics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LatArXiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Law Archive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,319,311,6,17,1,0,5,3,8
MNI Open Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0
MarXiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,132,3,3,0,0,0,0,1
MediArXiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,2,0,5,5
MetaArXiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,5,17,24,27,13,28,33
MindRxiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,20,2,0,3,1,0,1,0
Munich Personal RePEc Archive,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,2,3,4,4,10,8,9,8,8,23,36,45,65,63,70,102,89,81,72,92,85,184,131,109,74,75,27,14,1,2
National Bureau of Economic Research,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,2,3,4,3,14,11,10,6,6,7,10,8,11,13,20,15,12,24,14,15,8,5,2,0,0,0,0,0,2,0,0,0,0
